Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
Helene Faccio,F,SBD,Wraps,50,50-54,F-OR,55.2,56,130,137.5,-142.5,,137.5,65,70,-72.5,,70,160,172.5,182.5,,182.5,390,1,464.08,524.41,410.63,724.77,,Australia,GPC-AUS,2018-10-27,Australia,VIC,Melbourne Cup
Jacinta Holman,F,SBD,Wraps,49,45-49,F-OR,77.2,82.5,110,115,120,,120,60,-65,65,,65,170,-180,-180,,170,355,6,331.57,369.03,291.31,561.85,,,GPC-AUS,2018-10-27,Australia,VIC,Melbourne Cup
Jade Cranwell,F,SBD,Wraps,33,24-34,F-OR,71.9,75,135,145,150,,150,85,-90,90,,90,130,137.5,145,,145,385,4,376.12,376.12,331.32,628.36,,,GPC-AUS,2018-10-27,Australia,VIC,Melbourne Cup
Jasmine Hoare,F,SBD,Raw,31,24-34,F-OR,77.7,82.5,130,137.5,145,,145,75,80,-85,,80,145,155,-165,,155,380,4,353.56,353.56,310.54,599.76,,,GPC-AUS,2018-10-27,Australia,VIC,Melbourne Cup
Joanne Lawrence,F,SBD,Wraps,48,45-49,F-OR,55.8,56,115,120,122.5,,122.5,77.5,82.5,-85,,82.5,140,150,157.5,,157.5,362.5,2,427.72,469.21,378.36,667.69,,,GPC-AUS,2018-10-27,Australia,VIC,Melbourne Cup
Joelle Savgy,F,SBD,Raw,29,24-34,F-OR,72.1,75,90,100,105,,105,55,60,-62.5,,60,125,132.5,137.5,,137.5,302.5,6,294.98,294.98,259.82,492.05,,,GPC-AUS,2018-10-27,Australia,VIC,Melbourne Cup
Kate Drinkwater,F,SBD,Wraps,28,24-34,F-OR,51.2,52,100,-110,110,,110,45,47.5,-50,,47.5,115,125,-132.5,,125,282.5,2,356.40,356.40,316.12,536.69,,,GPC-AUS,2018-10-27,Australia,VIC,Melbourne Cup
Kathleen Beggs,F,SBD,Wraps,30,24-34,F-OR,55,56,100,115,125,,125,60,65,-70,,65,130,142.5,155,,155,345,3,411.70,411.70,364.31,638.85,,,GPC-AUS,2018-10-27,Australia,VIC,Melbourne Cup
Kellie Donaldson,F,SBD,Wraps,34,24-34,F-OR,74,75,155,165,-170,,165,95,100,-102.5,,100,155,167.5,175,,175,440,3,421.85,421.85,371.26,709.51,,Australia,GPC-AUS,2018-10-27,Australia,VIC,Melbourne Cup
Kerryn Siems,F,SBD,Wraps,30,24-34,F-OR,67.2,67.5,140,150,160,,160,72.5,-77.5,-77.5,,72.5,157.5,-167.5,,,157.5,390,1,399.32,399.32,352.28,656.52,,,GPC-AUS,2018-10-27,Australia,VIC,Melbourne Cup
Kylie Smith,F,SBD,Wraps,37,35-39,F-OR,60,60,75,-85,-85,,75,50,55,-60,,55,110,-117.5,117.5,,117.5,247.5,6,275.93,275.93,243.80,432.42,,,GPC-AUS,2018-10-27,Australia,VIC,Melbourne Cup
Lyndall Ablett,F,SBD,Wraps,45,45-49,F-OR,64.8,67.5,100,110,-115,,110,52.5,55,57.5,,57.5,115,125,130,,130,297.5,3,312.82,330.03,276.13,506.15,,,GPC-AUS,2018-10-27,Australia,VIC,Melbourne Cup
Maja Sucevic,F,SBD,Wraps,26,24-34,F-OR,89.3,90,105,115,120,,120,50,55,57.5,,57.5,130,140,-145,,140,317.5,2,275.24,275.24,239.42,475.66,,,GPC-AUS,2018-10-27,Australia,VIC,Melbourne Cup
